
---------------> PROGRAM SIG_BCZ <---------------


  Reading the parameters from file: sig_bcz_input
  Input parameters are:

    XINIT = 2.0000E-08
    AMP0 = 0.050    TAU0 =   2700.00    PHI0 = 0.500
    IPRINT = 4    ERRORS = n

  
  name of input file (l,n,v) -->   
   Reading frequencies from File: /home/joao/Documents/FCUP/TESE/bcz_fit/mesa_bestA.freq                          
       Range in frequencies: 1494.6894 - 2787.6930
       Reference frequency : 2100.0000
       Points read:  36
  
   Smoothing parameter = 0.20D-07

   File RES   [Model,C1,C2,...] (all final values)
   File COF   [C1,C2,...] (each iteration)
   File SIG   [v, v-smooth, l, n, sigma, fit] 
 450 ->      0.05     0.00013662     0.00011889    
 451 ->      0.05     0.00013391     0.00011883    
 452 ->      0.05     0.00013125     0.00011878    
 453 ->      0.05     0.00012863     0.00011874    
 454 ->      0.05     0.00012605     0.00011869    
 455 ->      0.05     0.00012353     0.00011864    
 456 ->      0.05     0.00012106     0.00011859    
 457 ->      0.05     0.00011863     0.00011855    
 458 ->      0.05     0.00011630     0.00011850    
 459 ->      0.05     0.00011393     0.00011846    
 460 ->      0.05     0.00011165     0.00011842    
 461 ->      0.05     0.00010941     0.00011838    
 462 ->      0.05     0.00010725     0.00011834    
 463 ->      0.05     0.00010506     0.00011830    
 464 ->      0.05     0.00010300     0.00011826    
 465 ->      0.05     0.00010096     0.00011822    
 466 ->      0.05     0.00009891     0.00011818    
 467 ->      0.05     0.00009693     0.00011814    
 468 ->      0.05     0.00009503     0.00011811    
 469 ->      0.05     0.00009311     0.00011807    
 470 ->      0.05     0.00009126     0.00011804    
 471 ->      0.05     0.00008945     0.00011800    
 472 ->      0.05     0.00008765     0.00011797    
 473 ->      0.05     0.00008587     0.00011794    
 474 ->      0.05     0.00008415     0.00011791    
 475 ->      0.05     0.00008248     0.00011787    
 476 ->      0.05     0.00008080     0.00011784    
 477 ->      0.05     0.00007923     0.00011781    
 478 ->      0.05     0.00007767     0.00011778    
 479 ->      0.05     0.00007609     0.00011776    
 480 ->      0.05     0.00007458     0.00011773    
